id,cnn_score,energy
371804.000,0.302,2614.488
594581.000,0.600,1705.200
1032837.000,0.481,1267.713
959143.000,0.154,2615.730
930779.000,0.093,1699.004
414779.000,0.102,2614.728
188217.000,0.411,1600.940
474204.000,0.179,2616.076
936361.000,0.419,1449.947
899825.000,0.745,1966.241
402811.000,0.440,1108.486
471489.000,0.040,2594.110
489254.000,0.419,2323.485
427656.000,0.001,2288.965
22600.000,0.298,2233.921
400739.000,0.072,1074.513
365559.000,0.000,1621.630
419595.000,0.174,1592.204
346094.000,0.552,1429.885
173004.000,0.030,1102.011
322609.000,0.096,1717.370
935951.000,0.635,2613.119
703047.000,0.000,2010.882
1024788.000,0.019,2438.519
363453.000,0.027,2602.917
687286.000,0.066,1621.849
362130.000,0.108,1767.357
773749.000,0.000,2373.626
1012917.000,0.348,2069.262
1008564.000,0.039,1225.944
165006.000,0.030,1951.438
660270.000,0.028,1094.173
3326.000,0.002,1016.392
85809.000,0.316,1136.975
377522.000,0.167,1765.758
469055.000,0.009,2616.213
105130.000,0.639,1093.157
746503.000,0.091,1305.426
27172.000,0.041,1621.111
164973.000,0.592,1299.815
314784.000,0.068,2217.971
287347.000,0.147,2248.217
195727.000,0.019,2614.275
796051.000,0.057,1368.910
291454.000,0.189,1552.997
821269.000,0.878,1719.707
541629.000,0.026,2613.757
548004.000,0.000,2015.848
1022838.000,0.429,1038.417
306675.000,0.111,2614.828
399319.000,0.314,2128.011
882005.000,0.009,2432.994
102035.000,0.622,1072.794
394816.000,0.467,1271.223
610407.000,0.146,2333.372
168516.000,0.151,1154.664
4048.000,0.842,1408.541
927652.000,0.000,1200.391
105489.000,0.373,2039.688
577844.000,0.674,1233.268
172059.000,0.063,2367.110
243838.000,0.073,2614.551
267505.000,0.008,2614.562
267119.000,0.111,2090.363
70881.000,0.001,1779.500
70936.000,0.000,1582.526
754087.000,0.509,2411.519
748832.000,0.001,2132.296
813172.000,0.028,1512.902
531192.000,0.644,2613.409
234786.000,0.038,2128.243
558696.000,0.024,2360.820
590934.000,0.018,2036.490
941286.000,0.000,1198.316
167074.000,0.374,1671.721
247936.000,0.686,1053.954
378262.000,0.029,1620.617
770047.000,0.664,1170.189
516913.000,0.675,1997.648
230069.000,0.124,1422.866
34233.000,0.259,2062.252
890134.000,0.094,2044.469
328503.000,0.004,2613.452
595361.000,0.700,1093.401
414577.000,0.070,2614.241
1026752.000,0.004,1818.559
485246.000,0.118,1060.128
857345.000,0.694,2100.749
875116.000,0.066,1371.248
404281.000,0.045,2411.288
62806.000,0.442,2313.268
46790.000,0.343,2073.851
68668.000,0.126,1844.493
196826.000,0.002,2146.366
781168.000,0.227,1526.758
335754.000,0.050,2498.708
831041.000,0.071,2613.890
236478.000,0.346,2218.615
44132.000,0.078,1636.203
898214.000,0.004,2222.635
548734.000,0.016,1892.539
131876.000,0.059,1836.215
146314.000,0.022,1984.319
492955.000,0.188,2101.962
296928.000,0.064,2614.971
634909.000,0.619,2338.906
585797.000,0.501,2615.153
19235.000,0.133,1815.190
509134.000,0.091,1290.697
463071.000,0.133,1401.915
965284.000,0.088,1311.557
593293.000,0.001,1230.375
759088.000,0.027,2615.620
248351.000,0.009,2232.632
424233.000,0.165,2378.779
447521.000,0.278,1978.782
504333.000,0.054,1921.189
38185.000,0.023,1800.180
410795.000,0.065,2614.991
397454.000,0.000,2611.952
973748.000,0.014,1475.594
488688.000,0.001,2324.828
844831.000,0.439,2058.036
620958.000,0.060,2017.598
705717.000,0.144,2091.592
765000.000,0.033,1986.743
862618.000,0.000,1187.887
697917.000,0.004,2385.152
18693.000,0.747,1312.805
111172.000,0.462,1409.023
212787.000,0.843,1827.076
378698.000,0.008,2104.469
296236.000,0.072,2065.571
686998.000,0.643,2142.784
27880.000,0.016,2613.301
152001.000,0.206,2614.343
866429.000,0.225,2612.272
1024792.000,0.046,2612.759
190432.000,0.143,1839.057
141170.000,0.050,2277.138
92748.000,0.313,2361.551
37626.000,0.012,2166.792
506100.000,0.692,1433.423
235540.000,0.007,2614.571
388037.000,0.218,1164.032
264904.000,0.006,2121.583
384495.000,0.138,2377.785
594697.000,0.440,1819.825
533514.000,0.395,1134.504
688683.000,0.013,2375.465
34903.000,0.221,2010.886
480253.000,0.110,2482.628
447344.000,0.015,2615.832
895426.000,0.417,2366.653
105513.000,0.013,2419.938
442833.000,0.011,2287.623
229091.000,0.815,2612.681
334402.000,0.061,2615.056
227011.000,0.002,2310.398
979868.000,0.735,1592.664
112731.000,0.236,1905.574
903677.000,0.029,2140.075
743580.000,0.022,2614.238
168187.000,0.224,2303.291
792773.000,0.000,1074.749
926540.000,0.157,2613.587
640539.000,0.230,2380.737
862038.000,0.143,1532.093
504251.000,0.005,2256.465
406638.000,0.867,2334.205
355582.000,0.001,2055.644
159694.000,0.309,2052.266
685832.000,0.003,2612.548
274633.000,0.428,1347.127
651645.000,0.418,1223.843
13719.000,0.352,1195.929
549389.000,0.019,2855.939
226176.000,0.281,1962.113
948703.000,0.052,1700.936
