id,cnn_score,energy
891134.000,0.040,2125.293
552336.000,0.073,2082.668
517931.000,0.117,1430.109
1003795.000,0.001,1354.187
710250.000,0.907,1466.169
991024.000,0.079,1754.236
486076.000,0.072,2434.306
168759.000,0.259,2134.594
425965.000,0.058,1037.063
676971.000,0.087,2613.831
173936.000,0.518,1635.645
607677.000,0.056,1062.000
305816.000,0.045,1922.987
327351.000,0.016,2613.287
335594.000,0.582,1970.036
945471.000,0.190,2370.796
748526.000,0.259,1218.243
71945.000,0.521,2125.150
314614.000,0.155,1121.597
543629.000,0.267,2018.796
489931.000,0.660,1559.073
885432.000,0.493,2136.343
701820.000,0.037,1308.682
515374.000,0.002,1836.049
741477.000,0.019,2342.079
150736.000,0.169,1702.722
150276.000,0.830,1796.586
647233.000,0.066,1049.192
394354.000,0.578,1640.539
965668.000,0.288,2414.638
159651.000,0.385,2335.477
931561.000,0.300,2352.617
865689.000,0.372,1539.773
519955.000,0.377,1815.725
240605.000,0.085,2612.581
923410.000,0.000,2613.057
611140.000,0.000,2615.139
946839.000,0.091,2614.820
537004.000,0.700,2333.295
743064.000,0.031,2614.446
291851.000,0.008,2359.762
786266.000,0.264,2248.878
642888.000,0.065,2324.966
189920.000,0.878,2062.562
206671.000,0.262,1846.470
57271.000,0.233,2271.778
955800.000,0.042,1106.732
556683.000,0.177,2275.325
61303.000,0.209,1878.090
670992.000,0.025,1620.501
680087.000,0.158,2103.133
138033.000,0.154,1927.826
781521.000,0.055,2365.096
376860.000,0.119,2613.537
1004462.000,0.600,1359.321
401995.000,0.172,1971.576
982213.000,0.380,1042.316
473318.000,0.308,2615.173
189124.000,0.714,2188.978
986343.000,0.018,2449.437
134435.000,0.039,2337.473
198539.000,0.483,1448.262
16948.000,0.397,1002.235
147066.000,0.000,1229.442
269294.000,0.568,1960.012
376123.000,0.324,2468.454
238322.000,0.049,2205.949
674032.000,0.220,1017.699
239722.000,0.313,2482.934
19593.000,0.075,2030.276
439807.000,0.152,1239.645
201461.000,0.005,2612.941
200226.000,0.084,2138.366
578619.000,0.529,1858.314
716281.000,0.007,2257.822
435723.000,0.256,2405.160
1021443.000,0.409,2366.157
720665.000,0.142,1048.681
62891.000,0.350,1193.997
213765.000,0.040,1192.878
262277.000,0.662,2340.403
936456.000,0.582,1024.204
136711.000,0.000,2614.530
956386.000,0.217,1201.761
369075.000,0.044,2616.086
790376.000,0.036,2613.035
686426.000,0.366,1094.102
86455.000,0.207,2390.076
42282.000,0.000,2613.630
792687.000,0.213,1298.008
308984.000,0.057,1025.967
80122.000,0.144,1188.909
94313.000,0.323,2128.950
445861.000,0.664,1692.680
713691.000,0.038,2612.162
958129.000,0.051,1859.353
831648.000,0.173,1530.950
180792.000,0.065,2613.261
590609.000,0.625,1697.579
496455.000,0.046,1400.534
921488.000,0.101,2175.619
900371.000,0.132,2614.891
875870.000,0.050,2614.284
483174.000,0.029,1824.134
336738.000,0.517,1336.843
685375.000,0.020,1414.062
601356.000,0.516,2380.370
921988.000,0.036,2392.721
251954.000,0.004,2089.159
853709.000,0.019,1419.004
354067.000,0.000,1093.439
714606.000,0.038,1624.816
998976.000,0.206,2418.198
560156.000,0.035,1330.385
359094.000,0.176,2612.780
760799.000,0.577,1486.132
561836.000,0.734,1096.992
289128.000,0.054,1468.921
489491.000,0.009,2045.636
127334.000,0.406,1663.956
694573.000,0.285,2614.033
267907.000,0.232,1649.704
514950.000,0.069,2266.043
771947.000,0.790,1253.347
143033.000,0.020,2613.965
632850.000,0.021,2490.249
441132.000,0.104,1884.676
1029814.000,0.636,2044.627
217074.000,0.003,1290.070
705866.000,0.146,2370.071
394124.000,0.026,1583.663
670884.000,0.001,2102.062
137198.000,0.021,2614.044
807916.000,0.239,2178.327
680200.000,0.448,2128.561
64209.000,0.293,2277.366
406448.000,0.000,2218.280
227731.000,0.020,1192.264
645857.000,0.040,1708.689
313585.000,0.176,2305.471
10179.000,0.136,1780.899
118999.000,0.058,2062.942
845640.000,0.027,2510.470
60388.000,0.453,1557.533
982604.000,0.175,1784.257
95350.000,0.112,1489.048
257837.000,0.047,2615.673
616257.000,0.244,1662.404
827711.000,0.060,1927.198
1016041.000,0.118,2398.743
520836.000,0.006,2101.145
293933.000,0.002,2052.484
192111.000,0.761,1902.147
577676.000,0.009,2372.653
627204.000,0.378,1138.247
33042.000,0.749,1055.749
567169.000,0.566,2079.387
542123.000,0.000,1806.358
8312.000,0.023,2613.280
92882.000,0.043,2573.060
941750.000,0.219,2613.558
87308.000,0.280,2007.297
459487.000,0.023,2614.820
870681.000,0.622,1592.137
197674.000,0.457,1412.604
521005.000,0.043,1642.606
810853.000,0.060,1390.817
974037.000,0.093,1980.513
989677.000,0.133,1202.415
524717.000,0.046,2170.426
587146.000,0.073,2478.334
641119.000,0.163,2280.980
132755.000,0.117,2033.531
809162.000,0.563,1644.378
305336.000,0.034,2613.059
340023.000,0.068,1783.324
325975.000,0.004,1077.309
553277.000,0.077,2047.619
354541.000,0.063,1877.354
675511.000,0.023,1917.483
331500.000,0.379,2266.158
