id,cnn_score,energy
539592.000,0.552,2056.786
869057.000,0.134,2615.997
946770.000,0.048,2415.047
897681.000,0.043,2614.040
618444.000,0.007,2453.252
497375.000,0.050,2612.319
1038893.000,0.044,2614.013
318926.000,0.400,2253.990
558708.000,0.015,1254.785
631512.000,0.266,1909.754
356586.000,0.159,1135.948
725127.000,0.106,2391.847
613770.000,0.135,2373.674
373154.000,0.083,2615.735
621716.000,0.003,2612.212
413015.000,0.516,1295.677
710187.000,0.001,1503.118
454914.000,0.393,1814.006
319182.000,0.598,1916.285
443426.000,0.507,2222.340
1023430.000,0.092,2317.866
18572.000,0.714,1438.643
760275.000,0.042,2219.429
438780.000,0.216,1776.615
202345.000,0.003,2613.276
272692.000,0.067,1288.273
85129.000,0.022,2103.734
277883.000,0.575,1314.805
229104.000,0.002,2614.521
1013597.000,0.126,1659.682
681864.000,0.028,2613.749
802547.000,0.160,2013.904
149559.000,0.431,2354.314
768543.000,0.119,1449.033
418248.000,0.014,2245.075
644875.000,0.151,1025.661
704665.000,0.098,2615.420
14450.000,0.003,2128.320
281779.000,0.000,1231.670
915561.000,0.108,2615.296
823683.000,0.419,1766.167
715227.000,0.280,1891.094
334827.000,0.460,1210.368
703567.000,0.001,2294.335
207523.000,0.173,1744.076
518886.000,0.207,1926.551
968488.000,0.104,2277.274
953909.000,0.230,1076.259
862165.000,0.227,1799.608
590557.000,0.060,2333.325
20956.000,0.133,2155.954
150191.000,0.020,2467.044
391929.000,0.095,2336.243
927363.000,0.111,2395.545
462690.000,0.028,1833.349
950379.000,0.786,1011.796
490462.000,0.249,1954.147
152864.000,0.664,1566.892
438091.000,0.304,1945.124
792168.000,0.565,1139.709
835011.000,0.076,1434.709
965650.000,0.000,1789.789
659646.000,0.738,1610.012
833566.000,0.840,1609.492
45209.000,0.832,1591.104
973467.000,0.424,1083.280
402442.000,0.747,2165.058
477999.000,0.067,2615.060
567156.000,0.463,2276.421
542553.000,0.031,2326.877
102548.000,0.756,1916.490
315588.000,0.059,1355.874
75540.000,0.442,1593.008
78291.000,0.019,2145.334
82724.000,0.309,2012.672
469476.000,0.084,2615.057
887794.000,0.009,2614.830
92630.000,0.001,2216.505
885130.000,0.267,1199.591
1027521.000,0.187,1256.472
809515.000,0.123,1563.285
270284.000,0.001,2232.377
244773.000,0.047,2374.522
150463.000,0.069,1590.322
600333.000,0.035,1338.787
466407.000,0.006,2611.701
804677.000,0.036,2615.205
405203.000,0.461,1828.869
299829.000,0.046,1710.211
22117.000,0.000,2376.917
750527.000,0.085,1205.797
992095.000,0.028,1483.104
140776.000,0.375,1619.175
674897.000,0.701,1306.342
67023.000,0.667,1471.646
751115.000,0.012,1620.336
75239.000,0.132,2474.040
581206.000,0.004,2103.038
577520.000,0.015,1097.264
563468.000,0.808,2106.727
982994.000,0.779,2177.594
194935.000,0.446,1295.966
395041.000,0.242,1634.163
377027.000,0.028,1677.099
530100.000,0.093,1217.090
151050.000,0.764,1573.774
718459.000,0.224,1893.500
448701.000,0.000,1680.008
1039471.000,0.582,1777.944
944835.000,0.016,2615.209
928254.000,0.114,1157.941
291307.000,0.379,2097.007
866765.000,0.003,1706.564
814564.000,0.002,2104.383
636903.000,0.739,2188.874
266427.000,0.637,2303.749
169005.000,0.034,2613.970
995252.000,0.282,2138.687
962661.000,0.106,1463.931
321957.000,0.557,1320.318
983075.000,0.367,1498.955
819698.000,0.007,2142.585
1034952.000,0.041,2104.303
500688.000,0.327,1157.627
55625.000,0.051,1145.236
511814.000,0.506,1106.533
651822.000,0.027,1221.598
585002.000,0.080,1710.938
949114.000,0.022,2157.959
32269.000,0.712,1167.257
559800.000,0.015,1716.227
515547.000,0.138,1456.822
767661.000,0.035,2250.078
146775.000,0.000,1685.878
483993.000,0.068,1407.093
357036.000,0.161,2615.282
769004.000,0.130,1663.440
637831.000,0.000,2089.627
157654.000,0.445,1351.203
118041.000,0.554,1207.637
981795.000,0.014,2611.503
685647.000,0.525,2028.059
444295.000,0.114,1892.670
326683.000,0.050,1433.833
321095.000,0.079,2167.853
827803.000,0.030,2328.490
306309.000,0.016,2153.402
724630.000,0.004,2378.996
738267.000,0.012,2246.102
352089.000,0.100,2615.710
336921.000,0.486,1741.802
72532.000,0.002,2329.517
179787.000,0.076,2109.596
512691.000,0.060,2614.381
951001.000,0.109,1808.019
350711.000,0.185,2600.091
1002035.000,0.270,1131.930
357068.000,0.073,2065.661
1029475.000,0.145,2160.691
758767.000,0.751,1926.644
850964.000,0.618,1280.464
890016.000,0.539,2167.121
457529.000,0.776,1731.827
544919.000,0.067,1934.991
303788.000,0.107,2193.005
755200.000,0.075,2298.960
346474.000,0.000,1992.507
80787.000,0.793,2029.927
890582.000,0.019,2189.619
170385.000,0.479,1460.542
3139.000,0.147,1127.076
540339.000,0.315,2305.118
146403.000,0.549,2612.027
881816.000,0.012,2613.836
158615.000,0.045,2172.418
995546.000,0.359,2612.414
1832.000,0.633,1150.619
928778.000,0.233,1776.497
914794.000,0.661,2395.177
1039442.000,0.097,1619.498
543548.000,0.076,1845.406
410472.000,0.779,1686.596
745959.000,0.032,2615.303
732580.000,0.003,1695.573
681293.000,0.047,2339.848
176159.000,0.353,1294.065
529106.000,0.242,1487.245
886251.000,0.045,2301.766
816673.000,0.052,2195.908
775891.000,0.514,2614.653
260034.000,0.886,1332.588
804231.000,0.143,1983.511
127405.000,0.152,2173.001
833820.000,0.050,2613.361
159257.000,0.398,2105.040
451667.000,0.337,1608.344
941223.000,0.021,2615.910
569004.000,0.179,1598.943
536043.000,0.061,1296.400
979503.000,0.005,2009.709
734707.000,0.372,1683.369
276454.000,0.636,1694.994
940396.000,0.008,2614.689
873548.000,0.065,2411.441
161435.000,0.044,2611.230
229243.000,0.384,1115.962
494224.000,0.136,2049.614
793236.000,0.358,1138.767
903134.000,0.043,1925.080
68865.000,0.057,2613.994
925679.000,0.007,1886.937
180519.000,0.039,2556.053
418494.000,0.000,1324.548
973335.000,0.378,1628.920
964324.000,0.091,1346.893
343831.000,0.003,1294.050
163438.000,0.005,2615.889
417573.000,0.296,1847.179
145329.000,0.749,1403.931
369032.000,0.090,1796.001
362728.000,0.044,2456.521
750656.000,0.004,2334.992
5775.000,0.801,2275.291
922963.000,0.035,1665.422
765335.000,0.039,1959.294
441731.000,0.017,2614.295
199066.000,0.000,2614.263
41565.000,0.050,2422.977
194090.000,0.136,1966.938
519986.000,0.458,1169.785
4897.000,0.009,1025.263
178630.000,0.444,1166.773
181334.000,0.442,2485.412
338132.000,0.015,2101.531
843103.000,0.044,1078.972
788283.000,0.091,1997.237
849849.000,0.000,1618.841
567844.000,0.038,2102.107
804062.000,0.043,2104.426
488766.000,0.399,2295.545
677309.000,0.628,1569.425
373310.000,0.196,1361.381
328899.000,0.009,1994.651
840507.000,0.471,1795.300
1031448.000,0.133,2369.254
646482.000,0.043,2357.627
958856.000,0.145,2178.190
187943.000,0.381,1592.128
584821.000,0.470,2048.763
214759.000,0.405,1928.723
723738.000,0.092,2616.033
598029.000,0.644,1370.165
980900.000,0.012,2610.573
258827.000,0.197,2187.909
133957.000,0.692,1558.746
411563.000,0.024,2476.747
569056.000,0.067,1707.392
604312.000,0.228,2614.018
901971.000,0.270,1704.156
412057.000,0.124,2611.645
760657.000,0.656,1170.999
521472.000,0.042,2396.196
1009515.000,0.027,2295.745
451475.000,0.075,2610.901
567790.000,0.031,1906.017
548067.000,0.749,1817.210
873513.000,0.617,2059.804
368526.000,0.292,1132.823
286077.000,0.032,2415.378
831109.000,0.078,2615.843
32945.000,0.050,2229.590
359682.000,0.004,1399.397
368917.000,0.179,2287.901
907927.000,0.039,2582.598
468975.000,0.468,2219.362
295769.000,0.098,1427.030
125685.000,0.027,2612.697
448622.000,0.000,1007.082
827431.000,0.090,1615.384
903334.000,0.731,1382.236
121740.000,0.473,2612.820
76946.000,0.141,2613.717
730260.000,0.122,2477.998
982939.000,0.048,2264.361
530638.000,0.447,2176.900
646302.000,0.033,2271.617
365335.000,0.156,2531.618
192858.000,0.089,2615.829
514174.000,0.030,1964.537
785999.000,0.041,2614.128
872162.000,0.145,2608.269
349830.000,0.050,1358.160
396533.000,0.502,1592.075
539972.000,0.499,2084.702
219917.000,0.030,2226.995
698306.000,0.018,1517.847
196015.000,0.001,2281.745
173754.000,0.012,1439.046
721960.000,0.354,1956.944
576907.000,0.322,1627.834
290874.000,0.479,1607.310
965588.000,0.430,1245.292
235755.000,0.014,2442.133
215956.000,0.049,2028.445
263392.000,0.700,2227.614
482919.000,0.195,2289.223
659713.000,0.098,1714.875
208175.000,0.034,2183.764
29521.000,0.025,1580.118
269114.000,0.071,2259.111
226424.000,0.070,1302.893
434121.000,0.142,2385.085
585878.000,0.446,1441.943
548459.000,0.006,1273.852
715924.000,0.075,2614.351
901769.000,0.046,2103.092
