id,cnn_score,energy
2708994.000,0.004,2508.527
2751038.000,0.081,2614.348
2733137.000,0.231,2586.637
2701677.000,0.059,2082.522
2766690.000,0.128,2309.838
2496520.000,0.488,1361.788
2457254.000,0.059,2363.669
2475931.000,0.212,1004.924
2422791.000,0.012,1967.991
2618834.000,0.049,1205.581
2514497.000,0.108,1610.632
2501866.000,0.433,2337.900
2412112.000,0.362,1213.178
2575923.000,0.794,1560.345
2629809.000,0.083,1751.599
2622248.000,0.050,1879.214
2426583.000,0.323,1379.539
2727742.000,0.005,2615.058
2648571.000,0.000,2301.586
2738301.000,0.893,1724.622
2757233.000,0.000,1876.241
2718031.000,0.605,1376.237
2508916.000,0.056,1094.889
2494819.000,0.007,1375.164
2418872.000,0.040,2193.079
2732595.000,0.100,2616.510
2589861.000,0.303,2140.843
2760571.000,0.083,2372.668
2722169.000,0.300,2157.422
2704585.000,0.698,2375.505
2647821.000,0.085,1583.492
2476709.000,0.507,1738.012
2653778.000,0.017,2210.022
2744774.000,0.473,1343.870
2512305.000,0.056,2244.595
2506436.000,0.002,2613.406
2667216.000,0.437,1243.308
2594100.000,0.002,1207.938
2433796.000,0.222,1341.149
2624008.000,0.063,1514.839
2638343.000,0.166,2110.381
2417116.000,0.182,1591.683
2745311.000,0.161,2385.024
2404822.000,0.059,1521.672
2727307.000,0.002,2080.955
2502497.000,0.145,1440.290
2601616.000,0.022,1774.866
2441084.000,0.037,2043.428
2398937.000,0.001,1012.802
2782914.000,0.545,1054.210
2671329.000,0.536,1064.358
2716227.000,0.000,2291.523
2525554.000,0.002,1728.015
2714812.000,0.092,2103.524
2679258.000,0.007,2336.564
2435474.000,0.037,2416.610
2641224.000,0.046,2118.764
2468515.000,0.000,1592.959
2473670.000,0.006,1119.793
2651445.000,0.000,2610.897
2640899.000,0.090,1999.630
2765950.000,0.502,1966.805
2623795.000,0.539,1782.290
2571446.000,0.201,1104.073
2556335.000,0.108,1267.241
2405519.000,0.036,2425.589
2732982.000,0.069,2041.897
2734949.000,0.006,2179.978
2543556.000,0.154,1681.679
2550085.000,0.051,1512.500
2678164.000,0.001,1609.754
2500094.000,0.175,1080.983
2669019.000,0.013,2273.717
2573515.000,0.054,1175.062
2590660.000,0.083,1814.241
2682407.000,0.013,1863.329
2452446.000,0.015,2154.575
2582867.000,0.183,1063.354
2668411.000,0.061,2313.035
2444315.000,0.331,1512.396
2479254.000,0.000,2612.868
2709338.000,0.850,1259.811
2605811.000,0.282,1547.223
2427340.000,0.557,2612.655
2558758.000,0.611,2282.763
2784598.000,0.716,1593.422
2707034.000,0.167,2467.331
2682157.000,0.040,1473.781
2726603.000,0.003,1899.277
2423216.000,0.035,2250.113
2667446.000,0.065,1512.610
2720101.000,0.642,2269.137
2735409.000,0.679,1300.703
2468295.000,0.351,1876.180
2475183.000,0.194,1978.190
2541252.000,0.169,2427.376
2731767.000,0.069,2240.369
2772646.000,0.558,1282.994
2576920.000,0.733,2312.976
2449135.000,0.000,2227.697
2609936.000,0.048,2614.877
2582819.000,0.006,2614.116
2541171.000,0.178,1953.161
2495116.000,0.366,2183.368
2633030.000,0.082,2451.041
2397407.000,0.011,2449.307
2496808.000,0.525,2216.174
2767980.000,0.305,1085.916
2576571.000,0.540,2289.452
2666101.000,0.029,1384.940
2505267.000,0.022,2064.470
2774595.000,0.058,2472.030
2585063.000,0.009,2613.196
2601449.000,0.237,2044.519
2533441.000,0.471,1592.314
2725728.000,0.708,1852.374
2730793.000,0.024,1615.626
2735806.000,0.030,1619.564
2603346.000,0.605,1735.474
2738820.000,0.133,1410.073
2752656.000,0.088,1907.113
2493870.000,0.467,1592.310
2488741.000,0.514,2086.474
2781731.000,0.116,2435.786
2584713.000,0.072,2162.801
2466423.000,0.047,1246.108
2538327.000,0.499,1795.748
2759689.000,0.062,2613.941
2424113.000,0.034,2166.567
2670462.000,0.120,1262.524
2625145.000,0.174,1143.303
2537515.000,0.346,1763.404
2556218.000,0.011,2103.494
2747378.000,0.042,2101.596
2747607.000,0.003,1919.549
2757071.000,0.011,2104.081
2583350.000,0.340,1620.963
2623121.000,0.149,1598.180
2772711.000,0.084,2488.574
2781622.000,0.076,2614.633
2583646.000,0.686,1672.722
2669372.000,0.014,2359.786
2681183.000,0.124,1889.055
2538083.000,0.317,1065.363
2643525.000,0.015,1621.979
2437955.000,0.016,1354.675
2630475.000,0.028,1478.832
2406473.000,0.683,1220.552
2611691.000,0.031,1301.369
2511902.000,0.631,2612.679
2544320.000,0.000,1063.543
2738660.000,0.444,2143.786
2501885.000,0.025,2410.750
2480567.000,0.000,1921.031
2650421.000,0.283,2364.676
2776253.000,0.074,2325.967
2481169.000,0.005,2262.621
2592414.000,0.860,1244.538
2448831.000,0.071,1123.675
2587502.000,0.198,2498.548
2528421.000,0.013,2028.046
2425909.000,0.061,1299.801
2684892.000,0.006,2219.290
2510698.000,0.039,2142.888
2585123.000,0.001,2382.696
2600984.000,0.103,2345.995
2747693.000,0.062,2191.207
2543497.000,0.002,1155.854
2541904.000,0.019,2476.678
2504277.000,0.233,1221.671
2565840.000,0.314,2614.914
2396430.000,0.575,1363.954
2551402.000,0.029,2616.715
2605208.000,0.000,1039.653
2409888.000,0.016,2055.159
2491206.000,0.583,1366.921
2405892.000,0.243,2364.134
2700256.000,0.018,2413.081
2618756.000,0.170,2388.977
2649581.000,0.366,2613.020
2550818.000,0.367,1777.513
2443608.000,0.435,1592.806
2601505.000,0.073,2567.048
2768910.000,0.817,1781.685
2554323.000,0.569,1900.542
2576283.000,0.055,2342.674
2548376.000,0.010,1839.922
2618663.000,0.148,1879.071
2615847.000,0.037,2416.923
2580885.000,0.329,2291.928
2464850.000,0.037,2128.560
2685839.000,0.065,2028.325
2406981.000,0.080,1048.539
2636595.000,0.026,1520.789
2663625.000,0.088,1707.053
2713795.000,0.594,1431.520
2774475.000,0.151,2045.101
2630188.000,0.019,2502.989
2533408.000,0.369,2243.014
2735011.000,0.013,2614.156
2671533.000,0.000,1059.358
2540506.000,0.076,2247.868
2710155.000,0.259,2193.879
2649504.000,0.641,1393.566
2718830.000,0.138,1501.329
2463285.000,0.056,1672.899
2404809.000,0.030,1854.385
2744234.000,0.423,2320.173
2780163.000,0.013,2443.281
2541231.000,0.061,2360.985
2764842.000,0.020,1506.765
2739534.000,0.031,2152.801
2698297.000,0.016,2376.598
2502307.000,0.021,2613.916
2732945.000,0.020,2464.018
2610590.000,0.203,2117.071
2520849.000,0.027,2209.607
2499406.000,0.011,2304.464
2576543.000,0.015,2420.426
2781728.000,0.081,1846.123
2603320.000,0.032,2614.752
2540491.000,0.113,2106.969
2591833.000,0.000,1353.380
2657950.000,0.115,1891.543
2663650.000,0.000,2056.117
2545437.000,0.031,1696.429
2650333.000,0.098,2356.676
2673120.000,0.007,2102.707
2741109.000,0.010,2614.300
2621695.000,0.037,1315.506
2537638.000,0.705,1524.426
2607132.000,0.533,2613.588
2401272.000,0.053,1197.386
2751742.000,0.071,1078.887
2548935.000,0.022,2413.126
2436723.000,0.582,1480.168
2715780.000,0.001,2383.619
2692016.000,0.032,2613.142
2564007.000,0.462,1890.139
2595247.000,0.003,2612.604
2406174.000,0.017,2396.508
2435893.000,0.134,2615.100
2547596.000,0.532,1149.561
2735810.000,0.131,1449.245
2440126.000,0.043,2180.502
2768045.000,0.616,2072.303
2546309.000,0.288,1110.635
2736263.000,0.393,1124.256
2709778.000,0.001,1368.734
2619897.000,0.486,2319.424
2647822.000,0.099,1680.086
2696717.000,0.042,2230.253
2635693.000,0.715,1590.422
2438153.000,0.257,2616.062
2751662.000,0.018,2146.757
2570071.000,0.102,2613.579
2474762.000,0.133,1714.078
2623175.000,0.076,1738.684
2514462.000,0.344,2341.179
2726060.000,0.146,2614.882
2684326.000,0.798,1292.467
2468338.000,0.487,1479.127
2635256.000,0.019,2243.184
2778286.000,0.528,2032.566
2708396.000,0.219,1479.716
2563359.000,0.394,1284.643
2678214.000,0.066,1060.560
2640244.000,0.035,2277.157
2487481.000,0.111,2187.134
2743791.000,0.051,1801.123
2597998.000,0.827,1262.857
2641464.000,0.000,1093.806
2719278.000,0.030,1771.133
2768720.000,0.000,2402.877
2412352.000,0.414,2456.304
2783585.000,0.101,1716.614
2575735.000,0.085,2120.777
2465696.000,0.002,2434.976
2467001.000,0.045,1281.054
2453417.000,0.491,2210.793
2774100.000,0.157,2157.747
2732773.000,0.002,1141.431
2631182.000,0.003,1598.687
2598647.000,0.221,2389.671
2693366.000,0.535,1858.145
2418931.000,0.003,1498.414
2689111.000,0.372,2392.239
2537859.000,0.157,2237.832
2476000.000,0.036,1406.474
2476949.000,0.484,1251.842
2628414.000,0.032,1793.473
2631938.000,0.587,2614.325
2776827.000,0.035,1983.802
2501685.000,0.073,2113.462
2635173.000,0.125,1920.275
2449151.000,0.404,1847.213
2777869.000,0.083,1730.680
2627760.000,0.001,1559.320
2455455.000,0.115,1409.021
2700078.000,0.011,2326.748
2427497.000,0.050,1511.859
2481247.000,0.734,2078.830
2504112.000,0.008,2186.349
2475762.000,0.000,2213.247
2741833.000,0.275,1979.502
2407152.000,0.342,2605.829
2494766.000,0.590,2179.853
2761394.000,0.320,1439.572
2765964.000,0.016,1375.953
2481042.000,0.363,2425.695
2513615.000,0.062,1229.008
2459044.000,0.225,2009.723
